Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.04451676,0.03020672,0.02989611,0.00859487,0.01846044,0.03351279
2,0.04450961,0.03022003,0.02990862,0.00859412,0.01846158,0.03350658
3,0.04450047,0.03023413,0.02990833,0.00859208,0.01845845,0.03350007
4,0.04449406,0.0302462,0.02991041,0.00859387,0.0184579,0.03348994
5,0.04448487,0.03026235,0.02991459,0.00859347,0.0184573,0.03348646
6,0.04447583,0.03027576,0.02991304,0.00859467,0.01845656,0.03347802
7,0.04446769,0.03029155,0.02992427,0.00859268,0.01845492,0.03347171
8,0.04445954,0.03030208,0.02992889,0.00859322,0.01845443,0.0334652
9,0.0444508,0.03031584,0.02992959,0.00859238,0.01845274,0.03345715
10,0.04444464,0.03032732,0.02992114,0.00859149,0.01845313,0.03345075
11,0.04443282,0.03033998,0.02991478,0.00859164,0.01844817,0.03344146
12,0.04442885,0.03035225,0.02992983,0.00859149,0.0184498,0.03343669
13,0.0444212,0.03036715,0.02993291,0.00858935,0.01844608,0.0334277
14,0.04441181,0.03038076,0.02993882,0.00858836,0.01844707,0.03342273
15,0.04440352,0.03039169,0.02993406,0.00858846,0.01844434,0.03341821
16,0.04439591,0.03040763,0.02992735,0.00858935,0.01844365,0.03340724
17,0.0443896,0.0304205,0.02990892,0.00858687,0.01844221,0.03340103
18,0.04437272,0.03043277,0.02990077,0.00858453,0.01843421,0.03338712
19,0.04421953,0.03044836,0.02991061,0.00853953,0.01834674,0.03325201
20,0.04410311,0.03046023,0.02992968,0.00850491,0.01828217,0.0331419
21,0.044066,0.03043584,0.02994006,0.00849364,0.01825217,0.03306257
22,0.04406119,0.03042502,0.02994578,0.00849548,0.0182464,0.03300669
23,0.0440746,0.0304496,0.02995626,0.00849657,0.01824963,0.03299105
24,0.04410038,0.03045894,0.02998323,0.00850427,0.0182627,0.03299363
25,0.04415223,0.03047121,0.03000151,0.00851817,0.0182921,0.03302889
26,0.04422132,0.03049302,0.02999704,0.00853809,0.01833661,0.03306178
27,0.04431753,0.03050067,0.03003335,0.00855712,0.01838638,0.03308264
28,0.04445875,0.03050086,0.0300629,0.00857937,0.01844846,0.03311001
29,0.04462132,0.03047325,0.03008153,0.00860242,0.01850866,0.03313887
30,0.04483942,0.03046734,0.03010661,0.00864374,0.01859415,0.03317165
31,0.04507168,0.03046277,0.03014048,0.0086879,0.01868768,0.03319693
32,0.04532202,0.0304648,0.0301609,0.00872888,0.01877187,0.03321913
33,0.04558145,0.03046262,0.0302063,0.00876946,0.01884886,0.0332394
34,0.04584068,0.03046485,0.03026973,0.0088014,0.01892361,0.03325738
35,0.04617487,0.03049798,0.03034553,0.00883924,0.01902802,0.03327417
36,0.04646628,0.03054795,0.03040796,0.00887084,0.019107,0.03329384
