Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.0885277134,0.0035206011,0.0145441071,0.0156722127,0.0357976493,0.0659049452
2,0.0885761574,0.0035247598,0.0145431499,0.0156918704,0.0358466739,0.0659377816
3,0.088629003,0.0035357149,0.0145268422,0.0157068825,0.0358809282,0.065958826
4,0.0886723438,0.0035553639,0.0145256841,0.0157342053,0.0359184973,0.0659763384
5,0.0887101851,0.0035693542,0.0145153259,0.0157484478,0.0359591373,0.0659990081
6,0.0887343782,0.0035855911,0.0145094892,0.0157671494,0.0359998299,0.0660130786
7,0.0887553316,0.0035960349,0.0145046427,0.015772451,0.0360221522,0.0660326798
8,0.0887802083,0.0036086143,0.0145054805,0.0157878031,0.0360507072,0.0660366038
9,0.0887957836,0.0036179862,0.0145069455,0.0157965239,0.03608481,0.0660447628
10,0.0888001759,0.0036468983,0.0145040779,0.0158202399,0.0361142963,0.0660586477
11,0.0887958937,0.0036550723,0.0145035113,0.0158361169,0.0361344032,0.066054643
12,0.0888033304,0.0036709926,0.0145073712,0.0158599623,0.036153078,0.0660525618
13,0.0887923894,0.0036864141,0.014516975,0.0158830889,0.036177173,0.0660512902
14,0.0887889816,0.003717093,0.0145219795,0.015902344,0.0362020539,0.0660487623
15,0.0887731856,0.0037226609,0.014511455,0.0159130579,0.0362194096,0.06604348
16,0.0887663559,0.0037467197,0.0145262261,0.0159476029,0.0362314837,0.0660383428
17,0.0887493605,0.0037592974,0.0145200377,0.0160128279,0.0362450514,0.0660206641
18,0.0887351777,0.0037697304,0.0145281134,0.0160554171,0.0362706514,0.0660134264
19,0.0887152646,0.0037991719,0.0145398729,0.0160852382,0.036287575,0.065999893
20,0.0887006405,0.0038156216,0.0145448548,0.0161011949,0.0363051442,0.0659834173
21,0.0886855653,0.0038292179,0.0145537145,0.0161123493,0.0363144044,0.0659689634
22,0.0886619246,0.0038304449,0.0145645737,0.0161213145,0.0363334753,0.0659630854
23,0.0886396215,0.0038570369,0.0145675979,0.016124153,0.0363517286,0.0659431283
24,0.088626224,0.0038832181,0.0145842067,0.0161328632,0.0363778061,0.0659257995
25,0.0886666487,0.0039074006,0.0146003087,0.0161407073,0.0364877216,0.0659063554
26,0.0888182164,0.0039534683,0.0146369553,0.0161723833,0.0366639209,0.06588696
27,0.0890573346,0.0039780061,0.014659397,0.0162010984,0.0368124428,0.0658759375
28,0.0893768074,0.003988646,0.014695016,0.0162193392,0.0369133544,0.0658566278
29,0.0898608097,0.004014161,0.0147324851,0.0162449174,0.0370173607,0.0658260043
30,0.0903489226,0.0040185379,0.0147705875,0.0162759233,0.0371192027,0.0658125848
31,0.0908888375,0.0040524434,0.0148314749,0.0163194927,0.0372430301,0.0657794123
32,0.0914704327,0.0040761476,0.0149354444,0.0163797966,0.0374059021,0.0657700536
33,0.0922032593,0.0041111488,0.0150532029,0.0164522261,0.0376000202,0.065740438
34,0.0928754823,0.0041476646,0.0152032388,0.0165279329,0.0377767607,0.06572283
35,0.0936486324,0.0041879405,0.0153877414,0.0166278852,0.0379819284,0.065708073
36,0.0945039579,0.0042805079,0.0156335433,0.0167688461,0.0382226204,0.0656955862
37,0.0953974493,0.0044605977,0.0159606358,0.0169438926,0.0384901251,0.0656944572
38,0.096654474,0.0047873883,0.016473564,0.0171950707,0.0388414023,0.0657066394
39,0.0977476534,0.0050054912,0.0169372326,0.0173493111,0.0390772911,0.0657095304
40,0.0988028836,0.005163066,0.0173968562,0.0174705794,0.0392425099,0.0657119926
41,0.0997709533,0.0053211681,0.0178747517,0.0175586137,0.0393753986,0.0657061622
42,0.1006523459,0.0054559716,0.0183570914,0.0176190674,0.0394550279,0.0657041634
43,0.1016177041,0.0056321527,0.018944548,0.0176855022,0.0395592136,0.0657037322
44,0.1024049462,0.0057635064,0.0194193624,0.0177562044,0.0396828493,0.0657095666
45,0.1031452319,0.0058765214,0.0198628631,0.0178066181,0.0397896408,0.0657101771
46,0.1037302879,0.0060752353,0.0203090676,0.0178608254,0.0398520876,0.065723638
47,0.1040739723,0.0065293453,0.0208604246,0.0179650133,0.0399272706,0.0657499566
48,0.1044221326,0.0072997735,0.0216424471,0.0181577364,0.0400884257,0.0658046731
49,0.1048229836,0.0077842337,0.0222983274,0.0183115425,0.0402463446,0.0658614512
50,0.1053659186,0.0080961133,0.0229089319,0.0184411748,0.0404203788,0.0659161081
51,0.1059777256,0.0082817129,0.0234688236,0.0185310102,0.0405615147,0.0659715087
52,0.1065333616,0.0083676787,0.0239836214,0.0185714968,0.0406529445,0.0660321442
53,0.1070134556,0.0085560484,0.0245826672,0.0186298151,0.0407319035,0.0661094692
54,0.1073969865,0.0087995922,0.025096224,0.018728915,0.040854794,0.0661877411
55,0.1077818779,0.0090612452,0.0255879738,0.0188336609,0.0409765714,0.0662671514
56,0.1082024132,0.0093290594,0.0261017563,0.0189442912,0.0410974946,0.0663477297
57,0.1086695532,0.0096773078,0.0267235373,0.0190673861,0.0412386808,0.0664600913
58,0.1090420736,0.0099385915,0.0272180522,0.0191532578,0.0413310359,0.0665604481
59,0.1093164126,0.0102351775,0.0277024711,0.019233369,0.0414246794,0.0666537479
60,0.1096185445,0.0104657669,0.0281794285,0.0192820131,0.041508575,0.0667743904
61,0.1098631753,0.01065479,0.0286289548,0.0193185407,0.041547864,0.0668811553
62,0.1100975831,0.0109449155,0.0291777727,0.019394486,0.0416241376,0.0670229385
63,0.1103124601,0.011166398,0.0296091061,0.0194642275,0.0416725209,0.0671389921
64,0.1104793848,0.0113796307,0.0300318798,0.0195295233,0.0417348361,0.0672624959
65,0.1107168557,0.0115662738,0.0304271595,0.0195882021,0.041810787,0.0673946905
66,0.110915746,0.0117438773,0.0307991166,0.019622634,0.0418553546,0.0675283829
67,0.1109843041,0.012076103,0.0312769867,0.0196921084,0.041891678,0.067695455
68,0.111001134,0.0125476534,0.0317421629,0.0198015439,0.0419655104,0.0678466498
69,0.111153807,0.0129586905,0.0321894887,0.0198901977,0.0420482774,0.0680047114
70,0.1111337381,0.0131940682,0.0325994628,0.0199119237,0.0420179219,0.0681528317
71,0.1108760458,0.013318349,0.0328980142,0.0198669184,0.0418778929,0.068294782
72,0.1103912192,0.0133746435,0.0331765418,0.0197698568,0.0416365619,0.0684396306
73,0.1099050315,0.0133818935,0.0333414474,0.0196768573,0.0414418736,0.0685693265
74,0.1094094471,0.0133801379,0.0334567941,0.0195828432,0.0412642345,0.0686808078
75,0.1089369126,0.0133700403,0.0335388339,0.0194950577,0.0410952606,0.0687871825
76,0.1083978411,0.0133800232,0.0336785101,0.0194158609,0.0409327833,0.0689053519
77,0.1079483102,0.0133715384,0.0336849255,0.0193611114,0.0408171684,0.0689995596
