Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.1077549376,-0.0007511863,0.0152726559,0.0172539038,0.0369038861,0.0815445641
2,0.1077994237,-0.0007485192,0.0152814698,0.0172666788,0.0369308068,0.0815775838
3,0.1078360996,-0.0007482037,0.0152676623,0.0172812424,0.036949471,0.0816059739
4,0.1078941625,-0.0007457062,0.0152824564,0.0172893334,0.0369708358,0.0816361732
5,0.1079420105,-0.0007518064,0.0153008178,0.017300806,0.036988337,0.0816647459
6,0.107985861,-0.0007470121,0.015319235,0.0173061581,0.0370001263,0.0816892003
7,0.1080300869,-0.0007429743,0.0153252423,0.0173183321,0.0370171793,0.0817202374
8,0.1080746549,-0.0007426044,0.01533601,0.0173270984,0.0370372436,0.0817586236
9,0.108123444,-0.0007390102,0.0153561863,0.0173347021,0.0370539467,0.0817962025
10,0.1081706195,-0.0007385817,0.0153477915,0.0173489844,0.0370731447,0.0818252251
11,0.1082176505,-0.0007323896,0.0153774485,0.0173480423,0.0370823704,0.0818534915
12,0.1082609196,-0.0007275582,0.0153917094,0.0173610398,0.0370979433,0.0818866056
13,0.1083018136,-0.0007341816,0.0154104619,0.0173650956,0.0371097963,0.0819144537
14,0.1083288797,-0.0007317875,0.0154074545,0.0173746889,0.037119235,0.0819350531
15,0.1083560816,-0.0007275367,0.0154109853,0.017374099,0.0371268417,0.081962098
16,0.1083910504,-0.0007261751,0.015428406,0.0173758837,0.0371340966,0.081980196
17,0.1084142865,-0.0007264073,0.0154287298,0.017381061,0.0371361868,0.0819972155
18,0.1084420912,-0.0007208014,0.0154582607,0.0173893847,0.0371473317,0.0820176176
19,0.1084578061,-0.0007259628,0.015461441,0.0173885337,0.0371529551,0.0820304163
20,0.1084816162,-0.0007216377,0.0154960663,0.0173926567,0.0371632544,0.0820550377
21,0.1084973361,-0.0007196445,0.0154997837,0.017396439,0.0371659273,0.0820732331
22,0.108523873,-0.0007136964,0.0155047439,0.0173980941,0.0371739551,0.082091295
23,0.1085407338,-0.0007157056,0.0155370276,0.0174002284,0.0371771293,0.0821018332
24,0.1085533824,-0.0007164831,0.015526023,0.0174042199,0.0371807467,0.0821075664
25,0.1085682087,-0.0007143744,0.0155500063,0.0174084292,0.0371989278,0.0821265024
26,0.1086237287,-0.0007097074,0.0155616814,0.0174258881,0.0372568464,0.082144421
27,0.1087357145,-0.0007051088,0.0155972584,0.017441981,0.0373369799,0.0821497115
28,0.1089872185,-0.0006964634,0.0156397093,0.0174788602,0.0374891649,0.0821905145
29,0.1092886624,-0.0006944218,0.0156522049,0.0175146513,0.037637149,0.0822268645
30,0.109633674,-0.0006921672,0.0156776194,0.0175494088,0.0377894933,0.0822550576
31,0.1100265218,-0.0006858104,0.0157053516,0.0175871095,0.0379394926,0.0822760649
32,0.1105366952,-0.0006833615,0.0157606555,0.0176507299,0.0381421157,0.082301254
