Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.1000583857,0.0019361431,0.0169681702,0.0171269685,0.0387480406,0.0760340498
2,0.1000670322,0.0019457363,0.0169681989,0.0171302944,0.0387629009,0.076042217
3,0.1000746196,0.0019570773,0.0169786849,0.0171348131,0.0387771634,0.0760274208
4,0.1000738229,0.0019696147,0.016982935,0.0171424061,0.0387855587,0.0760354501
5,0.1000915571,0.001974298,0.0170033758,0.0171435997,0.0388130716,0.0760444915
6,0.1001038743,0.0019859995,0.0170122593,0.0171482089,0.0388147849,0.0760497645
7,0.1001087752,0.0019933801,0.0170290874,0.017155091,0.0388307562,0.0760375404
8,0.1001100587,0.002004324,0.017039208,0.0171646789,0.0388538022,0.0760563481
9,0.1001125566,0.002010475,0.0170633934,0.0171727536,0.0388602368,0.0760422897
10,0.1001242711,0.0020215926,0.0170740652,0.0171692119,0.0388775415,0.0760475431
11,0.1001330658,0.0020317184,0.017079733,0.0171746268,0.0388831398,0.0760492618
12,0.100132008,0.0020438335,0.0171101765,0.0171836407,0.0388997527,0.076045874
13,0.1001286577,0.0020510439,0.0171301977,0.0171872641,0.0389099048,0.0760428122
14,0.1001276223,0.0020603996,0.0171388488,0.0171911822,0.0389253658,0.076042243
15,0.1001305771,0.0020715149,0.0171575628,0.0171918829,0.038927648,0.0760259688
16,0.1001288101,0.0020824043,0.0171791839,0.0172025238,0.038939523,0.076020469
17,0.100124874,0.0020880677,0.0171773107,0.0172048229,0.0389517862,0.0760177017
18,0.1001462648,0.002104683,0.0172044898,0.0172179055,0.0389747807,0.0760319363
19,0.1001628822,0.0021114956,0.0172292297,0.0172214761,0.0389916158,0.0760346284
20,0.100161528,0.0021238575,0.017251044,0.0172314775,0.0390045094,0.0760305853
21,0.1001583547,0.0021334078,0.0172599274,0.0172411988,0.0390142366,0.0760332711
22,0.1001607126,0.0021437299,0.0172899664,0.0172347082,0.0390226803,0.076025913
23,0.1001506949,0.002150666,0.0173110267,0.0172396704,0.0390321255,0.0760140377
24,0.1001364141,0.0021649678,0.017339779,0.0172409594,0.0390306751,0.0760042982
25,0.1001191532,0.0021684699,0.0173480782,0.0172441804,0.0390388912,0.0759871461
26,0.1001143951,0.0021791019,0.0173709385,0.0172472166,0.0390620199,0.0759768823
27,0.1001714087,0.0021947292,0.0173978811,0.0172659717,0.0391345049,0.0759614215
