Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.1174661377,0.0063458943,0.0324981994,0.0200071265,0.0440808233,0.0875336797
2,0.1174764084,0.0063590515,0.0325309897,0.0200142532,0.0440877118,0.0875411172
3,0.117482788,0.0063635486,0.0325387718,0.0200149963,0.0440990534,0.087538404
4,0.1174790546,0.0063812532,0.0325843584,0.0200148392,0.0441047497,0.0875444574
5,0.1174724091,0.0063838196,0.0325954781,0.0200187649,0.0441064121,0.087535503
6,0.1174683212,0.0063947838,0.032629336,0.0200193169,0.0441184821,0.0875384478
7,0.1174639806,0.0064100538,0.0326589103,0.0200199914,0.0441227096,0.0875381027
8,0.1174596375,0.0064167821,0.0326649457,0.0200308001,0.0441304603,0.0875312959
9,0.1174635282,0.0064263018,0.032671623,0.0200279847,0.0441391667,0.087530262
10,0.117458699,0.0064384522,0.0327150492,0.0200335103,0.0441446121,0.0875237512
11,0.1174416212,0.0064555118,0.032714146,0.0200320239,0.0441399827,0.087516556
12,0.1174229133,0.0064563174,0.0327620765,0.0200338983,0.0441449377,0.0875064278
13,0.1174124373,0.0064677158,0.0327626587,0.020027125,0.0441457132,0.0874930766
14,0.1174054457,0.0064785101,0.0327877245,0.0200334598,0.0441511534,0.0874871738
15,0.1173982835,0.0064787833,0.0328034352,0.020031271,0.0441595187,0.0874779958
16,0.1173894934,0.0064939409,0.032847246,0.0200371107,0.044162193,0.0874785457
17,0.1173969368,0.0065068558,0.0328571168,0.0200440754,0.0441766906,0.0874896676
18,0.1174007303,0.0065182737,0.0328836114,0.0200506322,0.044189921,0.0874925703
19,0.1174021355,0.0065289188,0.0328851638,0.0200551852,0.0441985253,0.087486422
20,0.1173944825,0.0065285562,0.0329159899,0.0200555901,0.0442005533,0.0874852296
21,0.1173741327,0.0065390148,0.0329130795,0.0200537431,0.0442028993,0.0874705324
22,0.1173621558,0.0065571875,0.032928877,0.0200611561,0.0442112695,0.0874643895
23,0.1173427038,0.0065590735,0.0329667129,0.0200562475,0.0442059372,0.0874559984
24,0.117335722,0.0065785275,0.0330045608,0.0200619753,0.0442164721,0.0874497269
25,0.1173657526,0.0065836307,0.0329981041,0.0200686402,0.0442525488,0.0874348263
26,0.1175533528,0.006617612,0.0330504427,0.0200896708,0.0443351675,0.0874309831
27,0.1178466492,0.0066371096,0.0331183013,0.0201077311,0.0444110315,0.087423978
28,0.1182272168,0.0066696963,0.0331553483,0.0201347116,0.0445004416,0.0874220999
29,0.1186681671,0.0066880251,0.0331910855,0.0201619842,0.0445996821,0.0874173484
30,0.1191553506,0.0067090379,0.0332406878,0.0201983161,0.0447065208,0.087416431
31,0.1198014739,0.0067234773,0.0333182908,0.0202544777,0.0448686493,0.0874070735
32,0.1204345804,0.0067477314,0.0334333737,0.020317151,0.0450484402,0.0874036958
33,0.1211146597,0.0067787895,0.033552988,0.0203890555,0.0452239515,0.0873943437
34,0.1218236567,0.0068167765,0.0336566941,0.0204615259,0.0454108125,0.0873872936
35,0.1227206348,0.0068675655,0.0338744883,0.0205564612,0.0456522602,0.0873808293
36,0.1235250501,0.0069326281,0.0340485896,0.0206316708,0.0458762704,0.0873785564
37,0.1243513466,0.0070028826,0.034204586,0.0207087484,0.0460859494,0.0873873221
38,0.1251538936,0.0070725213,0.0343784297,0.0207753406,0.0462787906,0.0873907547
39,0.1259167214,0.0071571422,0.0345838831,0.0208362782,0.0464415989,0.0873926
40,0.1267225024,0.0072560266,0.0347789722,0.0209045226,0.0466047612,0.0874035713
41,0.1273224135,0.0073450602,0.0349695961,0.0209631547,0.0467327271,0.0874177694
42,0.127863942,0.0074517994,0.0352024286,0.0210149448,0.046840559,0.0874277033
43,0.1283238083,0.0076036297,0.0354764635,0.0210840661,0.0469547315,0.0874362185
44,0.1286730822,0.0077744785,0.0357729259,0.0211493023,0.0470342557,0.0874607453
45,0.1290210476,0.0080269463,0.0361911577,0.0212363389,0.047127413,0.0874961744
46,0.1293148863,0.0082482927,0.0365935709,0.0213070157,0.0472260911,0.0875354364
47,0.1295734366,0.0084897198,0.0369869734,0.0213884076,0.0473097913,0.0875735151
48,0.1298322491,0.0087509906,0.037415578,0.0214667087,0.0474173979,0.0876349325
49,0.1301225522,0.0090145819,0.0378860842,0.021532258,0.0474974317,0.0877041577
50,0.1304405348,0.0093043724,0.0383734121,0.0216129128,0.0475855907,0.0877858102
51,0.1306931955,0.0095228193,0.03878598,0.0216697099,0.0476612906,0.0878605288
52,0.1309123034,0.0097422817,0.0391626503,0.0217368161,0.0477194825,0.0879555139
53,0.1311326676,0.0099512656,0.0395505563,0.0217918564,0.0477739809,0.088049936
