Measurement_Number,Time,SP-12A,SP-31,TGS-813,TGS-842,SP-AQ3,TGS-823,ST-31,TGS-800,Label
1,0,33.739782,72.056151,22.320113,22.949768,16.178617,45.594388,49.096439,33.20205,AQ_Coffee
1,1,33.820116,73.356984,22.320113,22.86704,16.273621,46.149582,48.784078,33.046781,AQ_Coffee
1,2,33.900787,73.356984,22.241104,22.825862,16.297507,45.732047,48.475323,33.20205,AQ_Coffee
1,3,33.900787,72.377277,22.559946,23.074796,16.345442,46.149582,49.096439,33.437363,AQ_Coffee
1,4,33.580114,72.056151,22.399587,22.908342,16.178617,45.732047,49.096439,33.20205,AQ_Coffee
1,5,33.500777,72.056151,22.399587,22.825862,16.202287,45.732047,48.784078,33.20205,AQ_Coffee
1,6,33.820116,72.701102,22.320113,22.908342,16.249789,45.457478,49.096439,33.20205,AQ_Coffee
1,7,33.739782,73.02766,22.320113,22.743872,16.249789,46.149582,48.475323,33.046781,AQ_Coffee
1,8,34.144839,73.356984,22.681466,23.243268,16.490572,46.009638,49.732237,33.755698,AQ_Coffee
1,9,34.144839,73.689111,22.763083,23.200959,16.56389,46.431802,49.412471,33.516452,AQ_Coffee
1,10,33.580114,73.02766,22.399587,22.784806,16.249789,46.009638,48.939804,33.20205,AQ_Coffee
1,11,33.580114,72.701102,22.399587,22.825862,16.249789,45.870461,48.784078,33.20205,AQ_Coffee
1,12,33.820116,73.02766,22.320113,22.949768,16.249789,45.594388,48.939804,33.437363,AQ_Coffee
1,13,33.739782,73.356984,22.201772,22.743872,16.297507,45.732047,48.475323,33.20205,AQ_Coffee
1,14,33.739782,72.056151,22.320113,22.908342,16.202287,45.594388,49.096439,33.20205,AQ_Coffee
1,15,33.981796,73.689111,22.241104,22.743872,16.345442,45.870461,48.629254,33.20205,AQ_Coffee
1,16,33.981796,73.02766,22.201772,22.825862,16.273621,45.870461,48.939804,33.358602,AQ_Coffee
1,17,33.981796,73.356984,22.201772,22.743872,16.369493,45.594388,48.629254,33.20205,AQ_Coffee
1,18,33.659782,73.02766,22.280551,22.743872,16.273621,46.290302,48.475323,33.046781,AQ_Coffee
1,19,33.580114,72.056151,22.399587,22.825862,16.226011,45.870461,48.939804,33.20205,AQ_Coffee
1,20,33.659782,72.377277,22.4395,22.825862,16.249789,45.870461,48.939804,33.20205,AQ_Coffee
1,21,33.820116,73.689111,22.201772,22.784806,16.345442,46.149582,48.629254,33.046781,AQ_Coffee
1,22,33.820116,73.689111,22.201772,22.743872,16.321447,45.870461,48.475323,33.20205,AQ_Coffee
1,23,33.900787,73.02766,22.320113,22.825862,16.297507,45.594388,49.096439,33.358602,AQ_Coffee
1,24,33.981796,72.701102,22.201772,22.825862,16.297507,46.009638,48.784078,33.20205,AQ_Coffee
1,25,33.820116,73.02766,22.320113,22.784806,16.297507,46.290302,48.475323,32.969623,AQ_Coffee
1,26,33.820116,73.689111,22.241104,22.743872,16.369493,46.149582,48.475323,33.046781,AQ_Coffee
1,27,33.820116,73.02766,22.320113,22.743872,16.297507,46.149582,48.784078,33.046781,AQ_Coffee
1,28,33.820116,73.02766,22.320113,22.784806,16.297507,46.290302,48.629254,33.20205,AQ_Coffee
1,29,33.820116,73.02766,22.320113,22.949768,16.321447,45.594388,49.412471,33.358602,AQ_Coffee
1,30,33.820116,73.689111,22.359792,22.743872,16.393598,46.431802,48.629254,33.280165,AQ_Coffee
1,31,33.659782,73.356984,22.47953,22.86704,16.345442,46.149582,48.939804,33.20205,AQ_Coffee
1,32,34.144839,73.689111,22.359792,22.908342,16.417758,46.009638,48.629254,33.437363,AQ_Coffee
1,33,33.900787,73.356984,22.4395,22.54102,16.345442,45.185883,46.127951,33.124256,AQ_Coffee
1,34,33.820116,72.701102,22.681466,21.873204,16.249789,43.239015,42.123208,31.921606,AQ_Coffee
1,35,33.981796,73.356984,22.241104,20.666079,15.693642,39.661089,38.198106,30.861568,AQ_Coffee
1,36,33.739782,71.421859,22.519679,19.627927,14.62487,36.859473,35.397054,29.287501,AQ_Coffee
1,37,34.063146,69.58036,22.519679,18.612275,13.233874,34.641098,33.564808,27.675338,AQ_Coffee
1,38,33.900787,68.401407,22.123453,17.383034,11.775534,32.723404,31.604251,25.699316,AQ_Coffee
1,39,33.900787,65.880877,22.162555,16.54294,10.473837,31.403496,30.3606,24.220407,AQ_Coffee
1,40,33.739782,63.781985,22.045588,15.855734,9.470854,30.306032,29.387505,22.755453,AQ_Coffee
1,41,33.820116,61.804319,21.891206,15.233136,8.698499,29.589436,28.586823,21.357858,AQ_Coffee
1,42,33.500777,59.711683,22.006825,14.790389,8.103039,28.90159,28.171072,20.2636,AQ_Coffee
1,43,33.659782,58.605034,21.852889,14.327506,7.698388,28.478057,27.651554,19.257543,AQ_Coffee
1,44,33.580114,56.706019,21.852889,14.018257,7.373625,27.891203,27.314236,18.561992,AQ_Coffee
1,45,33.659782,56.299386,21.700718,13.663833,7.163861,27.605493,26.875272,17.877993,AQ_Coffee
1,46,33.820116,55.699434,21.550281,13.464708,7.028022,27.213813,26.660273,17.390822,AQ_Coffee
1,47,33.580114,54.725317,21.438573,13.252348,6.90986,26.994231,26.395607,16.924231,AQ_Coffee
1,48,33.820116,53.597065,21.401548,13.113513,6.808405,26.885569,26.395607,16.5502,AQ_Coffee
1,49,33.820116,53.230442,21.327812,12.993781,6.765465,26.77765,26.290987,16.331929,AQ_Coffee
1,50,33.659782,52.868401,21.254492,12.892427,6.744115,26.617146,26.083846,16.001169,AQ_Coffee
1,51,33.500777,51.982791,21.254492,12.775639,6.722844,26.723966,26.083846,15.77121,AQ_Coffee
1,52,34.063146,52.333745,21.475703,12.909239,6.866161,27.048843,26.448182,15.93164,AQ_Coffee
1,53,33.580114,50.955375,21.109083,12.742556,6.708708,26.353247,26.395607,15.546304,AQ_Coffee
1,54,33.739782,51.808929,21.145283,12.709597,6.815593,26.723966,26.238941,15.546304,AQ_Coffee
1,55,33.343084,50.955375,20.965295,12.627743,6.7726,26.617146,26.238941,15.348072,AQ_Coffee
1,56,33.580114,51.124017,20.858501,12.595216,6.829996,26.51105,26.238941,15.369906,AQ_Coffee
1,57,33.580114,50.290876,20.858501,12.676763,6.829996,26.405671,26.500935,15.348072,AQ_Coffee
1,58,33.343084,50.621131,20.8231,12.611464,6.895257,26.723966,26.448182,15.26121,AQ_Coffee
1,59,33.580114,50.955375,20.787797,12.611464,6.961262,26.77765,26.395607,15.326286,AQ_Coffee
1,60,33.500777,49.964542,20.682472,12.676763,6.968642,26.51105,26.660273,15.369906,AQ_Coffee
1,61,33.739782,50.290876,20.612737,12.660392,7.050445,26.617146,26.660273,15.391787,AQ_Coffee
1,62,33.820116,50.290876,20.474411,12.693164,7.110662,26.723966,26.713748,15.457719,AQ_Coffee
1,63,33.739782,50.290876,20.440066,12.726061,7.1715,26.885569,26.821246,15.524085,AQ_Coffee
1,64,33.820116,50.78775,20.405814,12.759082,7.232968,26.885569,26.821246,15.501914,AQ_Coffee
1,65,33.580114,49.964542,20.508851,12.808849,7.27171,26.994231,27.038466,15.546304,AQ_Coffee
1,66,33.580114,49.964542,20.371655,12.8589,7.342082,26.939807,27.148202,15.658136,AQ_Coffee
1,67,33.820116,50.290876,20.303615,12.8589,7.421251,27.103643,27.093239,15.658136,AQ_Coffee
1,68,33.343084,50.455509,20.337589,12.892427,7.493398,27.158633,27.148202,15.72583,AQ_Coffee
1,69,33.580114,50.290876,20.202246,12.875648,7.558254,27.324749,27.148202,15.72583,AQ_Coffee
1,70,33.500777,50.290876,20.135121,12.909239,7.615571,27.324749,27.148202,15.77121,AQ_Coffee
1,71,33.580114,50.290876,20.101695,13.027825,7.673426,27.158633,27.369967,15.93164,AQ_Coffee
1,72,34.063146,51.124017,20.202246,13.182661,7.875983,27.719174,27.651554,16.165238,AQ_Coffee
1,73,33.500777,49.964542,20.101695,13.096309,7.773883,27.492607,27.594841,16.047782,AQ_Coffee
1,74,33.739782,50.78775,19.870204,13.113513,7.884567,27.548951,27.538328,16.141641,AQ_Coffee
1,75,33.500777,50.621131,19.935902,13.182661,7.91902,27.492607,27.765578,16.260165,AQ_Coffee
1,76,33.500777,50.78775,19.837486,13.130749,8.005984,27.605493,27.594841,16.284032,AQ_Coffee
1,77,33.500777,50.290876,19.837486,13.269855,8.014746,27.548951,27.822892,16.331929,AQ_Coffee
1,78,33.343084,50.621131,19.903009,13.252348,8.094154,27.719174,27.765578,16.428383,AQ_Coffee
1,79,33.264725,50.621131,19.739854,13.269855,8.147646,27.891203,27.822892,16.428383,AQ_Coffee
1,80,33.659782,50.621131,19.675196,13.304971,8.192566,27.833658,27.93813,16.623968,AQ_Coffee
1,81,33.659782,51.124017,19.642995,13.340225,8.274218,27.833658,27.996055,16.623968,AQ_Coffee
1,82,33.659782,50.621131,19.610879,13.357904,8.292504,27.891203,27.996055,16.748058,AQ_Coffee
1,83,33.264725,50.78775,19.707482,13.411148,8.356911,27.891203,28.054187,16.748058,AQ_Coffee
1,84,33.500777,50.290876,19.610879,13.464708,8.37543,27.833658,28.229828,16.798099,AQ_Coffee
1,85,33.343084,50.621131,19.515038,13.411148,8.450037,28.123436,27.996055,16.77305,AQ_Coffee
1,86,33.264725,50.78775,19.546901,13.518585,8.506553,28.065068,28.171072,16.949635,AQ_Coffee
1,87,33.500777,50.621131,19.546901,13.590921,8.544501,27.948953,28.229828,17.077556,AQ_Coffee
1,88,33.421767,50.290876,19.515038,13.572783,8.544501,28.006907,28.347972,17.026206,AQ_Coffee
1,89,33.421767,50.78775,19.41995,13.500591,8.611437,28.240797,28.112525,17.026206,AQ_Coffee
1,90,33.421767,51.293684,19.356971,13.536615,8.669352,28.299793,28.171072,17.077556,AQ_Coffee
1,91,33.580114,50.78775,19.294321,13.609094,8.669352,28.182012,28.288794,17.23307,AQ_Coffee
1,92,33.264725,50.78775,19.356971,13.627304,8.708243,28.182012,28.347972,17.180986,AQ_Coffee
1,93,33.421767,51.124017,19.294321,13.609094,8.767005,28.359001,28.288794,17.311664,AQ_Coffee
1,94,33.343084,51.293684,19.139113,13.609094,8.79658,28.182012,28.288794,17.337987,AQ_Coffee
1,95,33.264725,50.78775,19.231996,13.627304,8.816368,28.359001,28.288794,17.364373,AQ_Coffee
1,96,33.500777,51.124017,19.108312,13.682152,8.866095,28.299793,28.466968,17.497257,AQ_Coffee
1,97,33.264725,50.455509,19.231996,13.755794,8.85612,28.299793,28.647076,17.417335,AQ_Coffee
1,98,33.264725,51.124017,19.108312,13.682152,8.926252,28.240797,28.288794,17.417335,AQ_Coffee
1,99,33.343084,50.78775,19.07759,13.7189,8.926252,28.418422,28.347972,17.497257,AQ_Coffee
1,100,33.421767,50.78775,19.046948,13.774297,8.946423,28.182012,28.526787,17.631751,AQ_Coffee
1,101,33.421767,51.293684,19.231996,13.923668,9.079005,28.658256,28.707548,17.686006,AQ_Coffee
1,102,33.031573,50.455509,19.108312,13.774297,8.976792,28.359001,28.707548,17.658846,AQ_Coffee
1,103,33.186688,51.124017,18.894914,13.774297,9.048181,28.359001,28.466968,17.686006,AQ_Coffee
1,104,33.264725,50.455509,19.07759,13.904864,9.05844,28.299793,28.768239,17.850365,AQ_Coffee
1,105,33.343084,50.955375,18.925165,13.848682,9.079005,28.299793,28.586823,17.822805,AQ_Coffee
1,106,33.264725,51.124017,18.804624,13.811415,9.120319,28.537906,28.466968,17.713233,AQ_Coffee
1,107,33.343084,51.124017,18.925165,13.83003,9.120319,28.537906,28.526787,17.767885,AQ_Coffee
1,108,33.186688,50.621131,18.86474,13.923668,9.120319,28.299793,28.768239,17.850365,AQ_Coffee
1,109,33.500777,50.78775,18.86474,13.886099,9.151468,28.299793,28.707548,17.961285,AQ_Coffee
1,110,33.108972,50.621131,18.894914,13.942509,9.151468,28.418422,28.829151,17.905689,AQ_Coffee
1,111,33.031573,50.621131,18.894914,13.923668,9.161882,28.478057,28.768239,17.961285,AQ_Coffee
1,112,33.186688,50.78775,18.804624,13.923668,9.203695,28.359001,28.768239,18.073302,AQ_Coffee
1,113,33.186688,50.955375,18.774681,13.904864,9.235221,28.658256,28.647076,17.961285,AQ_Coffee
1,114,32.954491,50.455509,18.834644,13.942509,9.214188,28.478057,28.707548,18.017155,AQ_Coffee
