Measurement_Number,Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600,Label
1,1,0.0444228533,0.0173439457,0.0268339942,0.008836023,0.0180559103,0.0341632003,CO
1,2,0.0444120675,0.0173301551,0.026856206,0.0088619789,0.0180815723,0.0341553864,CO
1,3,0.0444080981,0.0173083377,0.0268594461,0.0088705349,0.0181065825,0.0341489056,CO
1,4,0.044401825,0.0172956821,0.0268892314,0.008877837,0.0181203248,0.0341414156,CO
1,5,0.0443879816,0.0172822115,0.0268991459,0.0088709562,0.018139692,0.0341337402,CO
1,6,0.044380781,0.0172746037,0.0269100111,0.0088637724,0.0181541785,0.0341283232,CO
1,7,0.0443720062,0.0172606057,0.0269409062,0.0088543993,0.0181655755,0.0341171456,CO
1,8,0.0443627147,0.0172555461,0.0269358715,0.0088490814,0.0181825762,0.0341133405,CO
1,9,0.04435505,0.0172487341,0.0269622509,0.0088408502,0.0181973064,0.034102947,CO
1,10,0.0443509459,0.0172445885,0.0269572063,0.0088383125,0.0182191356,0.0340955586,CO
1,11,0.044339587,0.0172402198,0.0269782228,0.0088279633,0.0182361497,0.0340886559,CO
1,12,0.0443385327,0.0172314366,0.0269835641,0.0088189829,0.0182455806,0.0340800722,CO
1,13,0.0443304629,0.0172226301,0.02699447,0.0088137098,0.0182641155,0.0340740456,CO
1,14,0.0443149924,0.0172174257,0.0269970155,0.0088053437,0.0182698436,0.0340668872,CO
1,15,0.0443078805,0.0172161021,0.0270147133,0.0088022595,0.0182858314,0.0340590241,CO
1,16,0.044305053,0.0172107648,0.0270157755,0.0087940719,0.0182969511,0.0340459966,CO
1,17,0.0442962433,0.0172130698,0.0270201788,0.0087917967,0.0183065744,0.0339698663,CO
1,18,0.0442782499,0.017101055,0.0269399937,0.0087865133,0.0181750709,0.0339183468,CO
1,19,0.0441206954,0.0171893103,0.0270425074,0.0087847009,0.0182570901,0.0338918455,CO
1,20,0.0440053836,0.0174102769,0.0272073858,0.0087837667,0.0185704896,0.033879385,CO
1,21,0.0439715273,0.0174142245,0.0272367543,0.0087784942,0.0186976004,0.0338688993,CO
1,22,0.0439635336,0.0173408012,0.0272007419,0.0087480103,0.0187365207,0.0338633859,CO
1,23,0.0439776654,0.0173077363,0.027167037,0.0087284516,0.0187675984,0.0338681956,CO
1,24,0.044001992,0.0172999464,0.0271387065,0.008717888,0.0188019421,0.0338682413,CO
1,25,0.0440559877,0.0173267963,0.0271489751,0.0086963987,0.0188741495,0.0338687994,CO
1,26,0.0441245841,0.0173320156,0.0271206916,0.0086808195,0.0189261949,0.0338671287,CO
1,27,0.0442200751,0.0173284538,0.0270929902,0.0086890722,0.0189663789,0.0338714864,CO
1,28,0.0443609979,0.017324326,0.0270742266,0.0087234123,0.0189814142,0.0338709315,CO
1,29,0.044526441,0.0173232642,0.0270593623,0.0087586114,0.0190281644,0.0338784152,CO
1,30,0.0447479655,0.0173404586,0.0270480696,0.0088074289,0.0190923762,0.0338839187,CO
1,31,0.0449776527,0.0173554689,0.0270773006,0.0088441256,0.0191717557,0.0338977622,CO
1,32,0.0452250665,0.0173871414,0.0270935837,0.0088807901,0.019244608,0.0339048686,CO
1,33,0.0454864563,0.0174181939,0.0271180254,0.008923355,0.0192959633,0.0339098774,CO
1,34,0.0457489796,0.0174447505,0.0271766158,0.0089601771,0.0193583169,0.0339252254,CO
1,35,0.0460819194,0.0174584425,0.0271384726,0.0089904171,0.0194408687,0.0339336553,CO
1,36,0.0463698016,0.0174924342,0.0271786885,0.0090266823,0.0195386575,0.0339443156,CO
1,37,0.0466306523,0.0175167372,0.0272399458,0.0090602577,0.0196523462,0.0339525591,CO
1,38,0.0468800497,0.0175317921,0.0272610431,0.0090963438,0.0197354356,0.03395993,CO
1,39,0.0471881456,0.0175418299,0.0273191607,0.0091188886,0.0198065527,0.0339723359,CO
1,40,0.0474501785,0.01754548,0.027339877,0.0091476875,0.0198786079,0.0339767961,CO
1,41,0.04768878,0.0175644649,0.0273458172,0.0091857655,0.019946594,0.0339833243,CO
1,42,0.0479071896,0.0175775044,0.0273757801,0.0092568893,0.019990887,0.0339854054,CO
1,43,0.048076638,0.0175995802,0.0274169296,0.0093169854,0.0200413182,0.0339951536,CO
1,44,0.0482235799,0.0176150845,0.0274485518,0.0093784803,0.0200833197,0.0340090904,CO
1,45,0.0483463071,0.0176203144,0.0274774279,0.0094365889,0.020118454,0.0340311405,CO
1,46,0.0484698521,0.0176312643,0.0275227804,0.0095003161,0.0201413218,0.0340507426,CO
1,47,0.0485870093,0.0176479993,0.0275735626,0.009569647,0.0201553564,0.0340730923,CO
1,48,0.0486893931,0.0176870419,0.0276347478,0.0096159741,0.0201788073,0.03410522,CO
1,49,0.0488037863,0.0177150391,0.0277148077,0.0096504889,0.0202094786,0.0341347206,CO
1,50,0.0489100395,0.0177487641,0.0277551813,0.0096789672,0.020236709,0.0341710197,CO
1,51,0.0490106021,0.0177949634,0.0278200045,0.0096866375,0.0202574119,0.0342165673,CO
1,52,0.0491167353,0.0178202554,0.0278816522,0.0097074359,0.0202815267,0.0342623233,CO
1,53,0.049219606,0.0178468753,0.0279385337,0.0097107212,0.0203187705,0.0343083412,CO
1,54,0.0493433322,0.0178742647,0.0280002544,0.0096902466,0.0203544184,0.0343665851,CO
1,55,0.0494600144,0.017893311,0.0280434872,0.0096728505,0.0203822806,0.0344179032,CO
1,56,0.0495921744,0.0179097915,0.0280704051,0.0096634854,0.0204135874,0.0344813929,CO
