Dataset,Fold,SeedsPerLabel,ScaleFactor,Model,Method,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Chinese_wine,1,10,1,KNN,Baseline,0.7965555555555556,0.797647644362865,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.04577970504760742
Chinese_wine,1,10,1,KNN,Tuned_Baseline,0.7984444444444444,0.7995800064810225,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.052713632583618164
Chinese_wine,1,10,2,KNN,Jittering,0.8013333333333333,0.802652276074408,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.07924747467041016
Chinese_wine,1,10,3,KNN,Jittering,0.7998888888888889,0.8012370450382338,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09188437461853027
Chinese_wine,1,10,5,KNN,Jittering,0.8015555555555556,0.8029000480710341,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.16291141510009766
Chinese_wine,1,10,10,KNN,Jittering,0.8006666666666666,0.8017628358594262,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.3130452632904053
Chinese_wine,1,10,2,KNN,Scaling,0.7917777777777778,0.7929841053889801,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09598112106323242
Chinese_wine,1,10,3,KNN,Scaling,0.7866666666666666,0.7882063334121906,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.11606502532958984
Chinese_wine,1,10,5,KNN,Scaling,0.7514444444444445,0.7550215040551225,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.18840670585632324
Chinese_wine,1,10,10,KNN,Scaling,0.7618888888888888,0.7620714266700399,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.3450644016265869
Chinese_wine,1,10,2,KNN,Magnitude_Warping,0.787,0.7871846026731091,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.10411453247070312
Chinese_wine,1,10,3,KNN,Magnitude_Warping,0.7798888888888889,0.780352610728686,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.13778901100158691
Chinese_wine,1,10,5,KNN,Magnitude_Warping,0.7568888888888889,0.7565410565811861,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.16484904289245605
Chinese_wine,1,10,10,KNN,Magnitude_Warping,0.7557777777777778,0.7534613397745822,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.31183505058288574
Chinese_wine,1,10,2,KNN,Time_Warping,0.7903333333333333,0.7916492613714996,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.10218405723571777
Chinese_wine,1,10,3,KNN,Time_Warping,0.7838888888888889,0.784596893479426,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.12347030639648438
Chinese_wine,1,10,5,KNN,Time_Warping,0.7772222222222223,0.7790207583300207,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.20992732048034668
Chinese_wine,1,10,10,KNN,Time_Warping,0.7653333333333333,0.7663781955440802,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.4002525806427002
Chinese_wine,1,10,2,KNN,SMOTE,0.7898888888888889,0.7909334066507905,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09254336357116699
Chinese_wine,1,10,3,KNN,SMOTE,0.8052222222222222,0.8061754892284063,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.1077110767364502
Chinese_wine,1,10,5,KNN,SMOTE,0.8024444444444444,0.8041065359636509,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.18918943405151367
Chinese_wine,1,10,10,KNN,SMOTE,0.7971111111111111,0.7981970547807519,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.25744175910949707
Chinese_wine,1,10,2,KNN,ADASYN,0.8051111111111111,0.8054256616517468,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09527850151062012
Chinese_wine,1,10,3,KNN,ADASYN,0.7951111111111111,0.7959171900017535,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.12973690032958984
Chinese_wine,1,10,5,KNN,ADASYN,0.7932222222222223,0.794323968913439,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.1513833999633789
Chinese_wine,1,10,10,KNN,ADASYN,0.7904444444444444,0.7918590721774104,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.21152806282043457
Chinese_wine,1,10,2,KNN,Mixup,0.795,0.7962156940351801,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.08167338371276855
Chinese_wine,1,10,3,KNN,Mixup,0.7995555555555556,0.8014552435530224,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09983205795288086
Chinese_wine,1,10,5,KNN,Mixup,0.7933333333333333,0.7958040237158568,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.12534260749816895
Chinese_wine,1,10,10,KNN,Mixup,0.7994444444444444,0.8010544873945091,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.19419336318969727
Chinese_wine,1,10,2,KNN,GMM,0.8021111111111111,0.802611908596475,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.09302616119384766
Chinese_wine,1,10,3,KNN,GMM,0.7931111111111111,0.7938770585579144,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.10839724540710449
Chinese_wine,1,10,5,KNN,GMM,0.799,0.799611239378066,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.13999557495117188
Chinese_wine,1,10,10,KNN,GMM,0.7946666666666666,0.7946054217819124,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.22512483596801758
Chinese_wine,1,10,2,KNN,HMM_GMM,0.791,0.7926483683505124,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.10979437828063965
Chinese_wine,1,10,3,KNN,HMM_GMM,0.791,0.7926483683505124,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.16657161712646484
Chinese_wine,1,10,5,KNN,HMM_GMM,0.791,0.7926483683505124,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.14705991744995117
