Dataset,Fold,SeedsPerLabel,ScaleFactor,Model,Method,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Plant_oil,1,10,1,KNN,Baseline,0.8913533834586466,0.8802848664467176,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.0758974552154541
Plant_oil,1,10,1,KNN,Tuned_Baseline,0.8931578947368422,0.8822746797605766,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.08733224868774414
Plant_oil,1,10,2,KNN,Jittering,0.8893233082706767,0.87815256967178,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.16595864295959473
Plant_oil,1,10,3,KNN,Jittering,0.8881203007518798,0.876762981256479,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.18996429443359375
Plant_oil,1,10,5,KNN,Jittering,0.892406015037594,0.881019293611666,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.36606740951538086
Plant_oil,1,10,10,KNN,Jittering,0.8929323308270677,0.881657255119075,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.4975852966308594
Plant_oil,1,10,2,KNN,Scaling,0.891203007518797,0.8798383227166942,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.16824817657470703
Plant_oil,1,10,3,KNN,Scaling,0.8928571428571429,0.8804772104814741,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.2063596248626709
Plant_oil,1,10,5,KNN,Scaling,0.8855639097744361,0.8726107432363535,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.2889735698699951
Plant_oil,1,10,10,KNN,Scaling,0.8740601503759399,0.8626859462880849,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.4794316291809082
Plant_oil,1,10,2,KNN,Magnitude_Warping,0.8802255639097745,0.8678526464028935,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.17602205276489258
Plant_oil,1,10,3,KNN,Magnitude_Warping,0.8739849624060151,0.8597438530016575,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.21087098121643066
Plant_oil,1,10,5,KNN,Magnitude_Warping,0.8646616541353384,0.8517656104216857,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.28185296058654785
Plant_oil,1,10,10,KNN,Magnitude_Warping,0.8747368421052631,0.8596036194309685,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.5114583969116211
Plant_oil,1,10,2,KNN,Time_Warping,0.8831578947368421,0.8721787978890908,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.15424013137817383
Plant_oil,1,10,3,KNN,Time_Warping,0.8767669172932331,0.8656049403673474,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.2048335075378418
Plant_oil,1,10,5,KNN,Time_Warping,0.8733834586466166,0.860585129958936,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.28665947914123535
Plant_oil,1,10,10,KNN,Time_Warping,0.8522556390977444,0.8384730822191033,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.41883301734924316
Plant_oil,1,10,2,KNN,SMOTE,0.9018796992481203,0.8901258085940161,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.12447404861450195
Plant_oil,1,10,3,KNN,SMOTE,0.8979699248120301,0.8859550592733452,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.1456012725830078
Plant_oil,1,10,5,KNN,SMOTE,0.897593984962406,0.8856919734372574,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.19544577598571777
Plant_oil,1,10,10,KNN,SMOTE,0.9036842105263158,0.8912236495417396,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.3566124439239502
Plant_oil,1,10,2,KNN,Mixup,0.8975187969924812,0.8861277694461335,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.12284541130065918
Plant_oil,1,10,3,KNN,Mixup,0.892781954887218,0.8812319599813616,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.14909029006958008
