Dataset,Fold,SeedsPerLabel,ScaleFactor,Model,Method,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Wine_spoilage,1,5,1,KNN,Baseline,0.8351612903225807,0.8294024077224904,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.012954473495483398
Wine_spoilage,1,5,1,KNN,Tuned_Baseline,0.8303225806451613,0.8220669429153228,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.013049840927124023
Wine_spoilage,1,5,2,KNN,Jittering,0.8290322580645161,0.8212968396087759,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.026032686233520508
Wine_spoilage,1,5,3,KNN,Jittering,0.8261290322580646,0.8186003787759318,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.037451744079589844
Wine_spoilage,1,5,5,KNN,Jittering,0.8306451612903226,0.8241313422335846,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.037172555923461914
Wine_spoilage,1,5,10,KNN,Jittering,0.8290322580645161,0.8222916489345404,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.05872964859008789
Wine_spoilage,1,5,2,KNN,Scaling,0.8290322580645161,0.8197530857211083,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.022242307662963867
Wine_spoilage,1,5,3,KNN,Scaling,0.8248387096774193,0.8180764113866668,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.0278623104095459
Wine_spoilage,1,5,5,KNN,Scaling,0.8293548387096774,0.8208066021562718,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.03403329849243164
Wine_spoilage,1,5,10,KNN,Scaling,0.8296774193548387,0.8215902120164315,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.058316946029663086
