Dataset,Fold,SeedsPerLabel,ScaleFactor,Model,Method,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Wine_spoilage,1,1,1,KNN,Baseline,0.7919354838709678,0.7921724334810663,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.01086878776550293
Wine_spoilage,1,1,1,KNN,Tuned_Baseline,0.7832258064516129,0.7853853873349952,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.011580944061279297
Wine_spoilage,1,1,2,KNN,Jittering,0.8009677419354839,0.8000094682214204,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.016740083694458008
Wine_spoilage,1,1,3,KNN,Jittering,0.8009677419354839,0.7999463641771358,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.0190889835357666
Wine_spoilage,1,1,5,KNN,Jittering,0.8064516129032258,0.8047560633542552,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.02454996109008789
Wine_spoilage,1,1,10,KNN,Jittering,0.8051612903225807,0.8037196164404565,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.03356647491455078
Wine_spoilage,1,1,2,KNN,Scaling,0.8012903225806451,0.8006294784999748,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.015645503997802734
Wine_spoilage,1,1,3,KNN,Scaling,0.8016129032258065,0.8008626071524556,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.018007755279541016
Wine_spoilage,1,1,5,KNN,Scaling,0.8041935483870968,0.8020775660146108,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.02481555938720703
Wine_spoilage,1,1,10,KNN,Scaling,0.8080645161290323,0.8051147650718734,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(8), 'p': 2, 'weights': 'distance'}",0.04053211212158203
