Dataset,Fold,SeedsPerLabel,SeedFoldSelection,ScaleFactor,Model,Method,GenParamSetIndex,GenParams,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Chinese_wine,1,20,1,1,KNN,Baseline,N/A,N/A,0.8955555555555555,0.8954245329994464,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.36894798278808594
Chinese_wine,1,20,1,1,KNN,Tuned_Baseline,N/A,N/A,0.9018888888888889,0.9018100715325773,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(5), 'p': 3, 'weights': 'distance'}",0.30701780319213867
Chinese_wine,1,20,1,1,RandomForest,Baseline,N/A,N/A,0.8797777777777778,0.8795577122308411,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",5.858748912811279
Chinese_wine,1,20,1,1,RandomForest,Tuned_Baseline,N/A,N/A,0.8758888888888889,0.8756064995588912,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.08749723434448242
Chinese_wine,1,20,1,1,LinearSVC,Baseline,N/A,N/A,0.7003333333333334,0.6820451745335622,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",0.15215516090393066
Chinese_wine,1,20,1,1,LinearSVC,Tuned_Baseline,N/A,N/A,0.698,0.6806714727388646,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.001, 'verbose': 0}",0.022051095962524414
Chinese_wine,1,20,1,1,LogisticRegression,Baseline,N/A,N/A,0.7343333333333333,0.7267980612052634,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",12.677595376968384
Chinese_wine,1,20,1,1,LogisticRegression,Tuned_Baseline,N/A,N/A,0.7522222222222222,0.7471638365292091,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.06116294860839844
Chinese_wine,1,20,1,1,RNN,Baseline,N/A,N/A,0.3,0.15954545454545455,"{'hidden_size': 64, 'epochs': 10, 'batch_size': 32, 'lr': 0.001}",85.15621638298035
Chinese_wine,1,20,1,1,RNN,Tuned_Baseline,N/A,N/A,0.4222222222222222,0.31361344931594914,"{'hidden_size': 32, 'epochs': 30, 'batch_size': 32, 'lr': 0.0005}",5.608408689498901
Chinese_wine,1,20,1,2,KNN,Scaling,1,{'sigma': 0.05},0.903,0.9028513656745136,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(5), 'p': 3, 'weights': 'distance'}",2.645871877670288
Chinese_wine,1,20,1,2,RandomForest,Scaling,1,{'sigma': 0.05},0.8732222222222222,0.8729151367304758,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",34.77955460548401
Chinese_wine,1,20,1,2,LinearSVC,Scaling,1,{'sigma': 0.05},0.6342222222222222,0.5992730477272801,"{'C': np.float64(33.59818286283781), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",3.8625729084014893
Chinese_wine,1,20,1,2,LogisticRegression,Scaling,1,{'sigma': 0.05},0.7516666666666667,0.7470893530040705,"{'C': np.float64(33.59818286283781), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",8.78813648223877
Chinese_wine,1,20,1,2,RNN,Scaling,1,{'sigma': 0.05},0.43333333333333335,0.30559844854756224,"{'hidden_size': 32, 'epochs': 30, 'batch_size': 32, 'lr': 0.0005}",102.04811143875122
Chinese_wine,1,20,1,2,KNN,Scaling,2,{'sigma': 0.1},0.8924444444444445,0.8921790344854743,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'chebyshev', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(11), 'p': 2, 'weights': 'distance'}",0.24181699752807617
Chinese_wine,1,20,1,2,RandomForest,Scaling,2,{'sigma': 0.1},0.8686666666666667,0.8685629865073559,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 150, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",19.89423704147339
