Dataset,Fold,SeedsPerLabel,SeedFoldSelection,ScaleFactor,Model,Method,GenParamSetIndex,GenParams,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Chinese_wine,1,20,1,1,KNN,Baseline,N/A,N/A,0.8955555555555555,0.8954245329994464,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.44242119789123535
Chinese_wine,1,20,1,1,KNN,Tuned_Baseline,N/A,N/A,0.9018888888888889,0.9018100715325773,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(5), 'p': 3, 'weights': 'distance'}",0.30132150650024414
Chinese_wine,1,20,1,1,RandomForest,Baseline,N/A,N/A,0.8797777777777778,0.8795577122308411,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",5.175949573516846
Chinese_wine,1,20,1,1,RandomForest,Tuned_Baseline,N/A,N/A,0.8758888888888889,0.8756064995588912,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.08903264999389648
Chinese_wine,1,20,1,1,LinearSVC,Baseline,N/A,N/A,0.7003333333333334,0.6820451745335622,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",0.14745521545410156
Chinese_wine,1,20,1,1,LinearSVC,Tuned_Baseline,N/A,N/A,0.698,0.6806714727388646,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.001, 'verbose': 0}",0.001077890396118164
Chinese_wine,1,20,1,1,LogisticRegression,Baseline,N/A,N/A,0.7343333333333333,0.7267980612052634,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.916309118270874
Chinese_wine,1,20,1,1,LogisticRegression,Tuned_Baseline,N/A,N/A,0.7522222222222222,0.7471638365292091,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0018663406372070312
Chinese_wine,1,20,1,1,RNN,Baseline,N/A,N/A,0.45555555555555555,0.3302770011390701,"{'hidden_size': 64, 'epochs': 10, 'batch_size': 32, 'lr': 0.001}",15.610859632492065
Chinese_wine,1,20,1,1,RNN,Tuned_Baseline,N/A,N/A,0.4444444444444444,0.32458553791887124,"{'hidden_size': 32, 'epochs': 30, 'batch_size': 32, 'lr': 0.0005}",1.5234172344207764
