Dataset,Fold,SeedsPerLabel,SeedFoldSelection,ScaleFactor,Model,Method,GenParamSetIndex,GenParams,Accuracy,F1_Score,Hyperparameters,ExecutionTime_Sec
Chinese_wine,2,20,1,1,KNN,Baseline,N/A,N/A,0.8967777777777778,0.8960335365706601,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.3464536666870117
Chinese_wine,2,20,1,1,KNN,Tuned_Baseline,N/A,N/A,0.9021111111111111,0.9014298377139259,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(5), 'p': 3, 'weights': 'distance'}",0.5864531993865967
Chinese_wine,2,20,1,1,RandomForest,Baseline,N/A,N/A,0.8665555555555555,0.8651220895406818,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",5.90969443321228
Chinese_wine,2,20,1,1,RandomForest,Tuned_Baseline,N/A,N/A,0.8665555555555555,0.8653158252240079,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.03613853454589844
Chinese_wine,2,20,1,1,LinearSVC,Baseline,N/A,N/A,0.6917777777777778,0.6716881731830089,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001, 'verbose': 0}",0.1313495635986328
Chinese_wine,2,20,1,1,LinearSVC,Tuned_Baseline,N/A,N/A,0.6948888888888889,0.6760083428221279,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.001, 'verbose': 0}",0.0014090538024902344
Chinese_wine,2,20,1,1,LogisticRegression,Baseline,N/A,N/A,0.7428888888888889,0.7383366112571232,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.1971516609191895
Chinese_wine,2,20,1,1,LogisticRegression,Tuned_Baseline,N/A,N/A,0.7502222222222222,0.7468898106442787,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.004874229431152344
Chinese_wine,2,20,1,1,RNN,Baseline,N/A,N/A,0.45555555555555555,0.3477981063770538,"{'hidden_size': 64, 'epochs': 10, 'batch_size': 32, 'lr': 0.001}",8.371830940246582
Chinese_wine,2,20,1,1,RNN,Tuned_Baseline,N/A,N/A,0.3,0.1758898182427594,"{'hidden_size': 32, 'epochs': 30, 'batch_size': 32, 'lr': 0.0005}",1.2723641395568848
Chinese_wine,2,20,1,2,KNN,ADASYN,2,{'n_neighbors': 2},0.8955555555555555,0.8947129760986159,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'chebyshev', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(11), 'p': 2, 'weights': 'distance'}",0.11310648918151855
Chinese_wine,2,20,1,2,RandomForest,ADASYN,2,{'n_neighbors': 2},0.8656666666666667,0.8638036023040341,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",5.64802885055542
Chinese_wine,2,20,1,2,LinearSVC,ADASYN,2,{'n_neighbors': 2},0.6844444444444444,0.651577161199295,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 42, 'tol': 0.001, 'verbose': 0}",0.2643928527832031
Chinese_wine,2,20,1,2,LogisticRegression,ADASYN,2,{'n_neighbors': 2},0.7026666666666667,0.691810624471254,"{'C': np.float64(1000.0), 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.6804797649383545
Chinese_wine,2,20,1,2,RNN,ADASYN,2,{'n_neighbors': 2},0.5111111111111111,0.44305318005008404,"{'hidden_size': 32, 'epochs': 30, 'batch_size': 32, 'lr': 0.0005}",24.539029836654663
Chinese_wine,2,20,1,2,KNN,ADASYN,3,{'n_neighbors': 3},0.9021111111111111,0.9014983358523228,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': np.int64(5), 'p': 3, 'weights': 'distance'}",0.33188509941101074
